Name,Team,Position,Birthday,Salary
Shake Milton,Philadelphia 76ers,SG,26/09/96,1445697
Christian Wood,Detroit Pistons,PF,27/12/95,1645357
PJ Washington,Charlotte Hornets,PF,28/01/00,3831840
