start_time,stop_time
2020-06-01 00:08:40.8360,2020-06-01 00:34:04.5300
2020-06-01 00:08:45.4600,2020-06-01 00:28:45.4340
2020-06-01 00:08:54.5520,2020-06-01 00:30:16.8840
2020-06-01 00:08:55.9950,2020-06-01 00:36:03.2140
2020-06-01 00:08:57.6680,2020-06-01 00:34:00.8560
2020-06-01 00:09:01.3570,2020-06-01 00:17:08.4250
2020-06-01 00:09:01.5580,2020-06-01 00:28:59.2450
2020-06-01 00:09:05.4140,2020-06-01 00:25:54.0230
2020-06-01 00:09:09.6810,2020-06-01 00:23:37.4900
2020-06-01 00:09:23.3850,2020-06-01 00:17:28.6730
2020-06-01 00:09:26.6550,2020-06-01 00:17:35.9060
2020-06-01 00:09:31.0270,2020-06-01 01:17:30.3940
2020-06-01 00:09:40.8980,2020-06-01 01:17:28.0770
2020-06-01 00:09:54.1850,2020-06-01 00:13:56.9050
2020-06-01 00:09:58.8930,2020-06-01 01:20:10.2180
2020-06-01 00:10:04.5630,2020-06-01 00:12:33.0560
2020-06-01 00:10:07.5630,2020-06-01 00:17:43.7490
2020-06-01 00:10:11.6850,2020-06-01 00:12:23.5480
2020-06-01 00:10:29.5450,2020-06-01 00:25:21.0260
2020-06-01 00:10:39.7240,2020-06-01 00:13:34.5120
2020-06-01 00:10:39.7420,2020-06-01 00:13:35.6270
2020-06-01 00:10:39.9170,2020-06-01 00:18:49.3720
2020-06-01 00:10:43.9920,2020-06-01 01:40:19.1770
2020-06-01 00:10:45.6040,2020-06-01 00:28:59.3190
2020-06-01 00:10:49.1660,2020-06-01 00:18:12.4160
2020-06-01 00:10:51.1260,2020-06-01 00:36:36.6630
2020-06-01 00:10:54.4850,2020-06-01 00:20:41.3860
2020-06-01 00:10:55.1340,2020-06-01 00:58:24.8830
2020-06-01 00:10:59.0980,2020-06-01 00:35:13.4760
2020-06-01 00:10:59.1810,2020-06-01 02:21:42.5640
2020-06-01 00:11:00.6930,2020-06-01 00:23:21.8840
2020-06-01 00:11:06.9150,2020-06-01 00:41:31.6610
2020-06-01 00:11:12.6770,2020-06-01 00:13:01.9510
2020-06-01 00:11:16.8800,2020-06-01 00:21:46.4170
2020-06-01 00:11:17.2950,2020-06-01 00:31:22.0820
2020-06-01 00:11:19.2670,2020-06-01 00:20:13.3120
2020-06-01 00:11:33.8570,2020-06-01 01:08:03.4140
2020-06-01 00:11:36.0650,2020-06-01 00:21:46.9510
2020-06-01 00:11:38.0490,2020-06-01 00:13:22.1450
2020-06-01 00:11:40.6290,2020-06-01 00:13:38.6290
2020-06-01 00:11:51.9790,2020-06-01 00:37:43.4050
2020-06-01 00:12:37.7620,2020-06-01 00:53:46.7060
2020-06-01 00:12:39.2320,2020-06-01 00:31:51.5940
2020-06-01 00:12:39.3310,2020-06-01 00:31:55.3820
2020-06-01 00:12:50.2960,2020-06-01 00:15:39.4770
2020-06-01 00:12:52.4930,2020-06-01 01:05:05.8210
2020-06-01 00:12:53.0280,2020-06-01 00:33:40.7760
2020-06-01 00:12:55.5140,2020-06-01 00:34:30.3870
2020-06-01 00:12:59.8670,2020-06-01 00:23:59.9140
2020-06-01 00:13:04.0760,2020-06-01 00:33:59.4270
2020-06-01 00:13:04.8180,2020-06-01 00:26:54.7120
2020-06-01 00:13:24.1590,2020-06-01 00:24:11.6770
2020-06-01 00:13:25.0180,2020-06-01 00:34:28.5730
2020-06-01 00:13:25.9330,2020-06-01 00:24:21.2150
2020-06-01 00:13:34.1090,2020-06-01 00:25:46.6740
2020-06-01 00:13:34.6880,2020-06-01 03:39:54.6960
2020-06-01 00:13:52.5560,2020-06-01 00:33:28.7800
2020-06-01 00:14:00.2990,2020-06-01 00:49:01.8490
2020-06-01 00:14:12.5570,2020-06-01 01:28:39.6790
2020-06-01 00:14:14.7080,2020-06-01 00:18:29.6260
2020-06-01 00:14:17.2330,2020-06-01 00:32:35.9430
2020-06-01 00:14:21.5490,2020-06-01 00:17:38.7410
2020-06-01 00:14:26.7650,2020-06-01 00:22:55.5850
2020-06-01 00:14:32.6150,2020-06-01 00:21:23.8350
2020-06-01 00:14:33.2650,2020-06-01 00:36:36.3710
2020-06-01 00:14:52.7190,2020-06-01 01:02:36.7370
2020-06-01 00:14:57.5030,2020-06-01 00:25:40.2120
2020-06-01 00:14:58.9480,2020-06-01 00:22:42.4510
2020-06-01 00:15:07.1770,2020-06-01 00:29:16.8520
2020-06-01 00:15:29.1940,2020-06-01 00:16:56.3760
2020-06-01 00:15:33.1310,2020-06-01 00:18:45.9420
2020-06-01 00:15:40.4030,2020-06-01 00:42:52.0170
2020-06-01 00:15:41.4170,2020-06-01 00:46:25.1940
2020-06-01 00:15:45.2000,2020-06-01 00:42:43.1560
2020-06-01 00:15:51.0390,2020-06-01 00:18:06.8300
2020-06-01 00:15:55.5530,2020-06-01 00:31:35.8830
2020-06-01 00:16:02.3510,2020-06-01 00:23:40.2140
2020-06-01 00:16:02.7160,2020-06-01 00:43:25.9330
2020-06-01 00:16:03.7970,2020-06-01 00:27:46.1670
2020-06-01 00:16:07.3020,2020-06-01 00:28:38.6910
2020-06-01 00:16:10.6110,2020-06-01 00:17:17.6110
2020-06-01 00:16:16.3180,2020-06-01 03:40:12.2190
2020-06-01 00:16:18.7290,2020-06-01 00:41:27.1210
2020-06-01 00:16:32.6530,2020-06-01 00:30:07.7600
2020-06-01 00:16:41.9520,2020-06-01 03:40:09.7800
2020-06-01 00:16:49.7420,2020-06-01 00:43:28.7630
2020-06-01 00:16:54.2470,2020-06-01 03:39:58.7090
2020-06-01 00:17:15.4960,2020-06-01 00:19:05.1110
2020-06-01 00:17:33.5120,2020-06-01 00:19:07.7850
2020-06-01 00:17:44.0510,2020-06-01 00:38:32.1870
2020-06-01 00:17:50.9640,2020-06-01 00:30:34.2810
2020-06-01 00:17:57.4120,2020-06-01 00:53:09.2960
2020-06-01 00:18:04.0930,2020-06-01 00:35:40.4610
2020-06-01 00:18:10.1990,2020-06-01 00:21:32.1920
2020-06-01 00:18:15.6440,2020-06-01 00:55:55.0520
2020-06-01 00:18:17.6300,2020-06-01 00:34:51.5100
2020-06-01 00:18:36.1670,2020-06-01 00:24:26.8940
2020-06-01 00:18:37.3000,2020-06-01 00:26:49.7440
2020-06-01 00:18:37.8990,2020-06-01 00:45:10.8650
2020-06-01 00:18:42.4360,2020-06-01 00:50:23.8510
2020-06-01 00:18:43.4800,2020-06-01 00:55:47.1020
2020-06-01 00:18:48.8320,2020-06-01 01:13:28.2260
2020-06-01 00:18:51.6010,2020-06-01 00:20:19.6150
2020-06-01 00:18:52.8400,2020-06-01 01:06:33.1330
2020-06-01 00:18:54.8450,2020-06-01 00:29:05.7170
2020-06-01 00:19:03.7700,2020-06-01 00:39:52.4560
2020-06-01 00:19:03.7830,2020-06-01 00:24:30.2660
2020-06-01 00:19:09.8120,2020-06-01 00:37:11.5390
2020-06-01 00:19:14.5300,2020-06-01 00:29:07.0700
2020-06-01 00:19:17.7170,2020-06-01 00:38:13.8930
2020-06-01 00:19:21.9370,2020-06-01 00:56:00.1910
2020-06-01 00:19:26.1630,2020-06-01 00:46:09.4360
2020-06-01 00:19:26.9040,2020-06-01 00:33:00.1690
2020-06-01 00:19:28.6730,2020-06-01 01:11:48.9210
2020-06-01 00:19:31.2590,2020-06-01 00:38:07.2130
2020-06-01 00:19:34.5350,2020-06-01 00:40:03.6610
2020-06-01 00:19:42.4040,2020-06-01 00:46:22.3920
2020-06-01 00:19:43.0900,2020-06-01 00:24:31.7320
2020-06-01 00:19:51.1400,2020-06-01 00:25:24.1890
2020-06-01 00:20:01.9330,2020-06-01 00:44:20.7220
2020-06-01 00:20:07.2100,2020-06-01 00:26:20.0140
2020-06-01 00:20:10.5900,2020-06-01 01:00:08.5760
2020-06-01 00:20:12.7470,2020-06-01 00:55:25.2310
2020-06-01 00:20:13.1430,2020-06-01 00:38:27.7540
2020-06-01 00:20:15.8910,2020-06-01 00:38:32.3200
2020-06-01 00:20:17.6160,2020-06-01 01:06:11.8830
2020-06-01 00:20:22.0940,2020-06-01 00:41:43.9660
2020-06-01 00:20:24.2440,2020-06-01 00:42:34.1600
2020-06-01 00:20:27.5280,2020-06-01 00:22:22.0930
2020-06-01 00:20:27.9650,2020-06-01 00:25:28.8200
2020-06-01 00:20:28.2420,2020-06-01 00:38:38.0700
2020-06-01 00:20:30.1470,2020-06-01 00:39:48.8940
2020-06-01 00:20:34.3100,2020-06-01 00:38:26.5570
2020-06-01 00:20:39.5290,2020-06-01 01:20:09.1420
2020-06-01 00:20:50.4980,2020-06-01 00:22:07.2330
2020-06-01 00:20:54.3750,2020-06-01 00:51:52.8130
2020-06-01 00:20:59.7650,2020-06-01 00:26:26.3240
2020-06-01 00:21:02.9040,2020-06-01 00:28:46.8880
2020-06-01 00:21:03.7960,2020-06-01 00:39:54.4720
2020-06-01 00:21:03.9920,2020-06-01 00:35:44.3800
2020-06-01 00:21:04.2750,2020-06-01 00:32:03.9410
2020-06-01 00:21:13.4650,2020-06-01 00:39:56.3230
2020-06-01 00:21:16.8980,2020-06-01 00:40:15.3280
2020-06-01 00:21:20.0430,2020-06-01 00:27:25.9920
2020-06-01 00:21:26.4830,2020-06-01 00:26:46.5730
2020-06-01 00:21:32.2520,2020-06-01 00:33:59.5650
2020-06-01 00:21:35.2430,2020-06-01 00:26:48.5050
2020-06-01 00:21:36.9520,2020-06-01 00:33:59.9760
2020-06-01 00:21:45.1380,2020-06-01 00:34:01.3320
2020-06-01 00:21:48.5670,2020-06-01 01:00:55.6960
2020-06-01 00:21:52.9970,2020-06-01 00:24:15.2180
2020-06-01 00:21:53.8560,2020-06-01 00:43:01.5660
2020-06-01 00:21:56.5500,2020-06-01 01:01:30.5620
2020-06-01 00:22:06.8020,2020-06-01 00:23:37.3890
2020-06-01 00:22:21.2140,2020-06-01 00:23:37.5130
2020-06-01 00:22:21.8450,2020-06-01 01:36:27.4800
2020-06-01 00:22:22.0910,2020-06-01 01:03:38.0260
2020-06-01 00:22:30.8350,2020-06-01 00:54:03.2040
2020-06-01 00:22:38.2180,2020-06-01 00:30:01.5720
2020-06-01 00:22:45.1500,2020-06-01 01:04:47.9810
2020-06-01 00:23:00.9680,2020-06-01 00:37:56.5270
2020-06-01 00:23:09.4140,2020-06-01 00:37:35.6350
2020-06-01 00:23:14.6830,2020-06-01 01:05:03.8030
2020-06-01 00:23:25.3060,2020-06-01 00:42:52.2290
2020-06-01 00:23:32.0800,2020-06-01 00:55:04.9570
2020-06-01 00:23:36.9160,2020-06-01 00:27:04.6010
2020-06-01 00:23:38.8850,2020-06-01 00:54:30.0940
2020-06-01 00:23:43.1070,2020-06-01 00:45:51.1950
2020-06-01 00:23:45.7330,2020-06-01 00:51:02.6320
2020-06-01 00:23:46.5200,2020-06-01 00:25:52.3650
2020-06-01 00:23:57.5410,2020-06-01 00:35:43.3480
2020-06-01 00:23:58.4160,2020-06-01 00:29:01.3690
2020-06-01 00:23:59.7030,2020-06-01 00:27:38.0420
2020-06-01 00:24:04.9440,2020-06-01 01:12:36.7950
2020-06-01 00:24:06.8310,2020-06-01 00:33:05.2110
2020-06-01 00:24:15.4700,2020-06-01 00:39:19.1310
2020-06-01 00:24:16.5090,2020-06-01 00:52:06.9810
2020-06-01 00:24:22.1370,2020-06-01 00:30:17.3660
2020-06-01 00:24:24.1450,2020-06-01 00:28:34.9560
2020-06-01 00:24:24.4550,2020-06-01 00:30:57.9740
2020-06-01 00:24:30.2800,2020-06-01 00:28:51.3700
2020-06-01 00:24:40.0680,2020-06-01 00:29:58.5590
2020-06-01 00:24:44.8370,2020-06-01 00:36:05.1200
2020-06-01 00:24:47.5220,2020-06-01 01:08:06.0010
2020-06-01 00:24:49.6080,2020-06-01 00:56:51.8750
2020-06-01 00:25:03.0390,2020-06-01 01:14:48.8270
2020-06-01 00:25:04.8670,2020-06-01 00:49:55.3290
2020-06-01 00:25:07.9950,2020-06-01 00:45:36.2290
2020-06-01 00:25:16.1080,2020-06-01 00:27:03.1440
2020-06-01 00:25:17.9820,2020-06-01 00:46:22.0340
2020-06-01 00:25:20.9250,2020-06-01 00:32:20.0240
2020-06-01 00:25:31.7310,2020-06-01 00:31:02.2290
2020-06-01 00:25:31.7690,2020-06-01 00:53:07.0290
2020-06-01 00:25:42.2580,2020-06-01 00:27:05.0670
2020-06-01 00:25:46.7190,2020-06-01 00:48:27.0670
2020-06-01 00:26:26.7320,2020-06-01 00:44:18.0990
2020-06-01 00:26:28.9270,2020-06-01 00:29:13.8880
2020-06-01 00:26:31.6010,2020-06-01 00:43:49.5870
2020-06-01 00:26:33.7740,2020-06-01 00:39:09.8920
2020-06-01 00:26:44.0490,2020-06-01 00:51:15.3990
2020-06-01 00:26:44.8010,2020-06-01 04:28:09.5960
2020-06-01 00:26:51.8160,2020-06-01 00:29:12.0830
2020-06-01 00:26:55.7760,2020-06-01 00:28:51.5720
2020-06-01 00:26:56.8520,2020-06-01 00:42:42.7170
2020-06-01 00:27:00.9440,2020-06-01 00:38:22.2550
2020-06-01 00:27:02.3450,2020-06-01 01:02:05.7070
2020-06-01 00:27:06.0460,2020-06-01 00:43:40.5030
2020-06-01 00:27:09.2620,2020-06-01 01:30:19.0410
2020-06-01 00:27:10.6980,2020-06-01 00:47:54.1310
2020-06-01 00:27:11.7170,2020-06-01 00:29:06.5590
2020-06-01 00:27:22.0130,2020-06-01 00:29:13.7350
2020-06-01 00:27:30.2700,2020-06-01 00:55:54.6410
2020-06-01 00:27:37.3480,2020-06-01 01:06:18.4980
2020-06-01 00:27:47.9210,2020-06-01 01:10:04.7270
2020-06-01 00:27:50.9070,2020-06-01 00:50:45.3570
2020-06-01 00:28:02.0000,2020-06-01 00:32:06.7790
2020-06-01 00:28:13.8100,2020-06-01 00:36:25.1100
2020-06-01 00:28:15.7240,2020-06-01 00:51:15.6440
2020-06-01 00:28:18.7450,2020-06-01 00:58:29.7940
2020-06-01 00:28:21.7760,2020-06-01 00:50:33.9960
2020-06-01 00:28:38.2760,2020-06-01 01:36:39.6730
2020-06-01 00:28:40.3830,2020-06-01 00:40:30.4640
2020-06-01 00:28:47.9080,2020-06-01 00:36:31.2090
2020-06-01 00:28:53.5620,2020-06-01 01:01:36.2660
2020-06-01 00:28:55.0320,2020-06-01 00:30:28.0550
2020-06-01 00:28:58.9630,2020-06-01 01:01:53.9220
2020-06-01 00:29:01.5260,2020-06-01 00:35:14.7690
2020-06-01 00:29:05.2530,2020-06-01 00:56:02.5240
2020-06-01 00:29:19.2580,2020-06-01 02:16:07.4130
2020-06-01 00:29:34.1680,2020-06-01 00:36:12.5650
2020-06-01 00:29:56.3480,2020-06-01 00:56:11.9160
2020-06-01 00:30:01.1710,2020-06-01 00:39:06.1140
2020-06-01 00:30:09.6660,2020-06-01 00:44:48.1940
2020-06-01 00:30:13.6570,2020-06-01 00:58:04.5480
2020-06-01 00:30:16.0440,2020-06-01 00:34:26.5370
2020-06-01 00:30:21.4080,2020-06-01 00:33:46.7600
2020-06-01 00:30:28.4420,2020-06-01 00:48:29.2320
2020-06-01 00:30:34.6270,2020-06-01 01:24:51.0950
2020-06-01 00:30:48.9230,2020-06-01 00:36:31.9850
